CED,Tot_P_M,Tot_P_F,Tot_P_P
101,71755,76005,147760
102,70048,72021,142069
103,72395,76312,148707
104,64822,66549,131371
105,78768,79640,158408
106,68427,74661,143088
107,72472,72842,145314
108,64014,67023,131037
109,82100,84207,166307
110,66963,70693,137656
111,65967,68879,134846
112,71621,73154,144775
113,66728,71314,138042
114,67465,67924,135389
115,66793,68214,135007
116,73188,75776,148964
117,65568,67648,133216
118,71921,75320,147241
119,77297,77441,154738
120,70221,71472,141693
121,69314,69824,139138
122,69238,69150,138388
123,77695,79788,157483
124,73357,75626,148983
125,61748,65669,127417
126,69044,71444,140488
127,68403,71267,139670
128,67717,70489,138206
129,70913,72539,143452
130,67648,70326,137974
131,71090,73797,144887
132,65508,66732,132240
133,71591,76500,148091
134,64773,68099,132872
135,75648,75279,150927
136,82848,81804,164652
137,62711,65270,127981
138,83590,82891,166481
139,65121,68860,133981
140,72368,72664,145032
141,64958,69940,134898
142,62199,65658,127857
143,88151,82545,170696
144,65015,68427,133442
145,70810,75989,146799
146,80816,80799,161615
147,77512,79529,157041
148,72909,75398,148307
194,7592,5326,12918
197,57,55,112
201,64039,66391,130430
202,68607,72711,141318
203,66456,70019,136475
204,68586,72028,140614
205,67856,67426,135282
206,83025,84537,167562
207,64525,67060,131585
208,68140,71528,139668
209,69153,72125,141278
210,64258,67515,131773
211,61331,65341,126672
212,67253,71690,138943
213,69200,71691,140891
214,74593,74230,148823
215,68248,69843,138091
216,64722,69994,134716
217,94491,95027,189518
218,63775,68339,132114
219,94859,95338,190197
220,66111,67581,133692
221,63238,64981,128219
222,76418,79572,155990
223,62919,66671,129590
224,62120,67319,129439
225,71997,73906,145903
226,108425,109072,217497
227,63434,64737,128171
228,63322,65669,128991
229,90291,91316,181607
230,67728,70545,138273
231,87235,90397,177632
232,75535,77610,153145
233,59434,62771,122205
234,64457,65622,130079
235,65401,66657,132058
236,62903,63996,126899
237,73825,76531,150356
294,4671,3636,8307
297,36,0,36
301,67854,68184,136038
302,68859,72312,141171
303,67886,70780,138666
304,72657,72394,145051
305,75838,71580,147418
306,77701,73814,151515
307,67779,69013,136792
308,71370,74618,145988
309,63954,68050,132004
310,60573,64654,125227
311,76863,71259,148122
312,71491,73469,144960
313,70954,71690,142644
314,67775,71840,139615
315,74369,74827,149196
316,65313,69332,134645
317,79732,75387,155119
318,81091,81185,162276
319,71007,74645,145652
320,69817,71940,141757
321,74333,73498,147831
322,68021,73050,141071
323,72546,75158,147704
324,72183,73794,145977
325,72032,72493,144525
326,67386,72192,139578
327,83011,84852,167863
328,72686,75406,148092
329,67028,68676,135704
330,68685,68835,137520
394,7151,5394,12545
397,276,195,471
401,74193,75831,150024
402,74600,73782,148382
403,64432,69708,134140
404,73769,71026,144795
405,66731,70922,137653
406,73371,75804,149175
407,65524,67523,133047
408,68583,71049,139632
409,79265,80948,160213
410,67355,72861,140216
411,77612,78607,156219
494,1779,1289,3068
497,5,0,5
501,77665,78074,155739
502,73557,73947,147504
503,70404,72011,142415
504,67911,70635,138546
505,98212,79032,177244
506,69634,69797,139431
507,71076,73335,144411
508,74414,74914,149328
509,71597,72851,144448
510,77268,73121,150389
511,76942,76977,153919
512,73259,71805,145064
513,69743,72238,141981
514,80126,78974,159100
515,69699,72239,141938
594,4287,3011,7298
597,382,34,416
601,48210,51039,99249
602,47924,50218,98142
603,47951,51008,98959
604,47808,49897,97705
605,50087,50021,100108
694,613,460,1073
697,81,34,115
701,56437,53039,109476
702,53718,49396,103114
794,1019,851,1870
797,91,18,109
801,82921,85581,168502
802,93703,94761,188464
894,328,303,631
897,3,0,3
994,7,17,24
997,0,3,3
